feature,category,synthesis_score,obviousness,paper_evidence,mechanism
Sequence conservation (per-residue),positive,3,NON-OBVIOUS,Fig 1e: µs-ms > no-motion > ps-ns in conservation; missing-peak residues statistically INDISTINGUISHABLE from Rex residues,"µs-ms motions are overwhelmingly functional (catalysis/allostery/binding), and function is conserved"
Rex / elevated R2 (R1/R2/NOE),positive,3,obvious,Definitional: Rex = increase in R2 from µs-ms exchange,Same physical phenomenon as the missing-peak label
"Proximity to functional site (active site, ligand pocket, allosteric net)",positive,3,partly non-obvious,"Abstract + Fig 4f: catalysis & ligand binding 'particularly well predicted'; YcqA FMN loop, OMP omega-loop, APOBEC-2 specificity loop",Function requires the very interconversion that broadens peaks
Enzyme lid / catalytic-loop opening (apo),positive,3,partly non-obvious,"Fig 5e: Adenylate Kinase hinges/lid, K-Ras Switch I/II, MptpA P-loop, DUSP3 variable-insert loop",Lid open<->closed IS a µs-ms conformational exchange; the loop broadens even apo
Conformational difference between apo vs holo structures,positive,2,NON-OBVIOUS,Fig 4f MptpA: high p(exchange) in loops that differ between apo 2LUO and holo 1U2P,Residues that move between crystallized states are the ones sampling multiple environments
MD kinetically-distinct substates / ensemble spread,positive,3,NON-OBVIOUS,Fig 4c BPTI: 5 MD substates (Shaw 2010) -> Dyna-1 AUROC 0.92 for the two loops,Where an MD ensemble visits multiple basins = where chemical environment fluctuates on µs-ms
Loop secondary structure,positive,2,obvious,Fig 2d: missing most frequently in loops (though present across all SS types),Loops are conformationally labile
Disulfide-bond isomerization,positive,2,NON-OBVIOUS,Fig 4c BPTI Cys14/Lys15/Cys38/Arg39 known ms disulfide transitions,A specific slow chemical-environment switch that broadens those amides
"Unsuppressed R2 (µs end, CPMG-invisible)",positive,2,NON-OBVIOUS,"Fig 5: CypA Arg148 high R2,inf; adding these labels raised AUROC in 5/6 CPMG sets (BlaC 0.65->0.72)","Fast-µs exchange too fast for CPMG B1 fields — conventional analysis misses it, Dyna-1 flags it"
Crystallographic B-factor,non-correlate,0,NON-OBVIOUS (myth),Fig 2h: B-factor distributions of ASSIGNED vs UNASSIGNED residues are SIMILAR,B-factor mixes lattice/refinement/fast disorder; carries little µs-ms information
X-ray / cryo-EM missing density (unresolved residues),non-correlate,0,NON-OBVIOUS (myth),"Fig 2f,g: missing NMR peaks are DISTINCT from residues unresolved in X-ray/EM (little overlap)","Unresolved density = static disorder/flexibility, a different phenomenon than µs-ms exchange"
AF2 pLDDT (model confidence),non-correlate,0,NON-OBVIOUS (myth),Ext Data Fig 2: low pLDDT tracks ps-ns motion; little difference between no-motion and µs-ms,"pLDDT senses fast/static disorder, not slow exchange — low confidence != µs-ms dynamic"
Amino-acid identity alone,non-correlate,0,obvious,Fig 3c: naive AA+DSSP classifier AUROC = 0.501 (random),Composition alone carries no dynamics signal without context
Phosphate buffer + phosphate-binding protein,confounder,2,NON-OBVIOUS (artifact),"Fig 4b / Ext Fig 7: 14/29 worst-AUROC proteins bind phosphate, measured in phosphate buffer; exchange in +charged surface residues",Buffer ion binding creates real exchange that is NOT the protein's intrinsic function
Deuteration / incomplete amide back-exchange,confounder,2,obvious (artifact),Methods: 2H entries removed; entry 25080 flagged,Unexchanged deuterons give erroneously missing amide peaks
ps-ns fast motion (hetNOE<0.65),confounder,1,NON-OBVIOUS,MK12/p38gamma p(exchange) high everywhere; single field strength can't separate ps-ns from µs-ms,Fast motion can co-occur and confuses single-field labeling
Aromatic ring-flipping,confounder,1,NON-OBVIOUS,NtrC Tyr101 ring-flip exchange MISSED by Dyna-1,A µs-ms process not tied to backbone/function — a Dyna-1 blind spot
"Peak overlap (assigned, no relax data)",confounder,0,obvious (artifact),Methods: 'assigned but no R1/R2/NOE' category separated out,"Overlap, not exchange — pollutes the missing label"
His-tag residues,confounder,1,obvious (artifact),"Methods: 1834 seqs had His-tags, trimmed",Tag residues frequently unassigned for non-dynamics reasons
Proline,confounder,0,trivial,Excluded: no backbone amide -> always 'missing',Not a dynamics signal at all
Chemical-shift difference Δω relative to exchange rate kex,physical,3,the mechanism,p8/p12: broadening beyond detection when Δω ~ kex (intermediate exchange),THE governing physics: same motion is visible (fast/slow) or invisible (intermediate) depending on Δω/kex
