property,tier,score,obviousness,dyna1_feature,evidence,mechanism
Cryptic / transient binding pockets,strong,3,NON-OBVIOUS,Dyna-1 flags pocket-lining residues in µs–ms exchange; pocket opens only in a minor state,KRAS switch-II pocket (undruggable→sotorasib); PocketMiner (Meller & Bowman 2023) predicts cryptic sites from dynamics,A pocket absent in the crystal but sampled on µs–ms is invisible to static docking — the #1 reason a target is called 'undruggable'
"Conformational-state selectivity (DFG-out, αC-out)",strong,3,NON-OBVIOUS,Residues undergoing the active↔inactive transition light up; drug selects the minor state,Imatinib selects inactive DFG-out Abl (Kern 2014); type-II kinase inhibitors generally,"Selectivity between structurally identical pockets comes from which CONFORMATION each protein can access, not the static pocket"
Allosteric-site druggability,strong,3,NON-OBVIOUS,"Allosteric pockets are defined by coupled µs–ms motion, not a static cleft",PTP1B allosteric site; SHP2 (allosteric drugs); Dyna-1 flags the coupled network residues,Allosteric sites are dynamics constructs — you cannot see them without the motion that couples them to the active site
Binding affinity (via induced-fit / conf. selection),strong,3,partly non-obvious,Affinity set by population of the bindable state × intrinsic pocket fit; Dyna-1 gives the state axis,"Abl vs Src: identical crystal pocket, 3000× affinity gap from µs–ms dynamics (Kern 2014); Boltz-2 can't split them (9.5 vs 8.2)",Thermodynamic affinity depends on accessible-state populations — the dynamics sets ΔG that a single structure cannot
Drug residence time / off-rate (koff),strong,2,NON-OBVIOUS,Slow conformational trapping (induced-fit closure) lengthens koff; koff is itself a µs–ms rate,Copeland drug–target residence-time theory; long koff tracks in-vivo efficacy better than Kd,"Residence time IS a kinetic/dynamic observable; the property in vivo efficacy correlates with is the one dynamics governs, not Kd"
Target selectivity across a family,partial,2,partly non-obvious,Dynamics adds the conformational-state axis on top of sequence/pocket differences,Kinome selectivity: state access separates near-identical ATP pockets,Sequence and pocket shape do most of the work; dynamics resolves the cases where those are degenerate
Off-target effects,partial,2,partly non-obvious,"Off-targets often share an accessible conformational state, not just a sequence motif",Kinase polypharmacology tracks shared DFG-out accessibility,Profiling which off-targets can reach the same state narrows liability beyond a static similarity search
Antibody CDR motion / developability,partial,2,NON-OBVIOUS,CDR-H3 and framework loops undergo µs–ms exchange; Dyna-1 flags functional loops it was trained on,CDR-H3 conformational heterogeneity ↔ polyreactivity/aggregation; paratope flexibility ↔ affinity maturation,"Antibody 'motion' is real and measurable, but developability also has orthogonal drivers (charge patch, hydrophobicity) dynamics won't see"
Resistance-mutation liability,partial,2,partly non-obvious,Gatekeeper/allosteric mutations act by SHIFTING the conformational equilibrium a drug relies on,Abl T315I; kinase gatekeeper mutations re-populate the drug-disfavored state,A mutation that changes no contact can still kill a drug by moving the population — a dynamics effect
Cellular efficacy / potency in cells,partial,1,—,Only via target engagement + residence time; most of efficacy is pathway biology,Residence-time→efficacy link (above); everything else is network/PK context,"Efficacy is an organismal outcome; dynamics touches one input (engagement kinetics), not the whole chain"
"Toxicity endpoints (hERG, DILI, reactive metabolites)",myth,0,honest limit,Dynamics informs ONLY the off-target sliver of tox; endpoints are chemistry + physiology,hERG = channel pharmacology; DILI = reactive metabolites/immune; no µs–ms backbone signal,"Claiming dynamics predicts toxicity is overreach — it predicts one upstream contributor (off-target binding), not the endpoint"
Expected cost / difficulty to MANUFACTURE,myth,0,honest limit,"Cost is synthesis route, CMC, formulation, trial size — no protein-dynamics content",Small-molecule COGS and biologic manufacturing are process-chemistry problems,Difficulty-to-DRUG (dynamics-informed) is NOT difficulty-to-MAKE (chemistry/process) — conflating them is a category error
Chemical potency vs a single static structure,myth,1,the trap,Docking one crystal and ranking by score is exactly what misses the dynamics,FeatureDock/Boltz-2 rank the wrong state; Abl≈Src on static score despite 3000× gap,The property people compute (static-structure IC50) is the one dynamics most contradicts — this is the whole thesis
Oral bioavailability / ADME-PK,myth,0,honest limit,"Governed by ligand physchem (logP, PSA, solubility), not target backbone motion",Lipinski/ADME are ligand properties,Nothing in the target's µs–ms exchange sets the drug's absorption
