interpro_id,keywords
IPR000001,kringle
IPR000003,"retinoid,receptorhnf4,retinoid x,x receptorhnf4,nuclear,steroid,nuclear steroid,steroid receptor,receptor activity,zinc,zinc ion,templated,of dna,dna templated,templated transcription,nucleus,of rna,cation binding,of biosynthetic,rna biosynthetic,of metabolic,zinc,zinc ion,templated,of dna,dna templated,templated transcription,of gene,of macromolecule,transition,transition metal,nucleus,of rna,rna biosynthetic,templated,dna templated,templated transcription,of primary,nuclear,steroid,nuclear steroid,steroid receptor,receptor activity,of macromolecule,of nucleobase,of nitrogen,transducer,molecular transducer,transducer activity,signaling receptor,receptor activity"
IPR000006,"metallothionein,vertebrate,cation binding"
IPR000007,tubby
IPR000008,"c2,c2 domain"
IPR000009,"phosphatase,2a,regulatory,pr55,protein phosphatase,phosphatase 2a,2a regulatory,regulatory subunit,subunit pr55,phosphatase,protein phosphatase,phosphatase regulator,regulator activity,phosphatase,2a,protein phosphatase,phosphatase type,type 2a,2a complex,phosphatase,phosphatase regulator,regulator activity,phosphatase,phosphatase complex,phosphatase,2a,protein phosphatase,phosphatase type,type 2a,2a complex,function,function regulator,regulator activity,serinethreonine,phosphatase,protein serinethreonine,serinethreonine phosphatase,phosphatase complex,enzyme,enzyme regulator,regulator activity,phosphatase,protein phosphatase,phosphatase regulator,regulator activity,catalytic complex"
IPR000010,"cystatin,cystatin domain,cysteine,endopeptidase,inhibitor,cysteine type,type endopeptidase,endopeptidase inhibitor,inhibitor activity,peptidase,peptidase regulator,regulator activity,function,function regulator,regulator activity,enzyme,inhibitor,enzyme inhibitor,inhibitor activity,endopeptidase,inhibitor,endopeptidase inhibitor,inhibitor activity,peptidase,inhibitor,peptidase inhibitor,inhibitor activity,cysteine,endopeptidase,inhibitor,cysteine type,type endopeptidase,endopeptidase inhibitor,inhibitor activity,endopeptidase,endopeptidase regulator,regulator activity,enzyme,enzyme regulator,regulator activity,function,inhibitor,function inhibitor,inhibitor activity"
IPR000011,"ubiquitinsumo,activating,enzyme,e1,ubiquitinsumo activating,activating enzyme,enzyme e1,e1 like,ubiquitin,modifier,activating,enzyme,ubiquitin like,like modifier,modifier activating,activating enzyme,enzyme activity,modification,protein modification,modification process,ligase,ligase activity,forming,sulfur,forming carbon,carbon sulfur,sulfur bonds,ligase,ligase activity,modification,protein modification,modification process,modification,macromolecule modification,atp dependent,dependent activity,ubiquitin,modifier,activating,enzyme,ubiquitin like,like modifier,modifier activating,activating enzyme,enzyme activity,a protein"
IPR000012,"vprvpx,vprvpx protein,life,cycle,life cycle,host,nucleus,host cell,cell nucleus,host,host cell,host,host intracellular,host,part,host cell,cell part,host,nucleus,host cell,cell nucleus,host,region,host intracellular,intracellular region,host,host cellular,life,cycle,life cycle,host,part,host intracellular,intracellular part,host,host intracellular"
IPR000013,"peptidase,m7,peptidase m7,snapalysin,metalloendopeptidase,metalloendopeptidase activity,zinc,zinc ion,proteolysis,extracellular,region,extracellular region,cation binding,metallopeptidase,metallopeptidase activity,extracellular,region,extracellular region,peptidase,peptidase activity,zinc,zinc ion,metalloendopeptidase,metalloendopeptidase activity,transition,transition metal,endopeptidase,endopeptidase activity,a protein,proteolysis"
IPR000014,"pas,pas domain"
IPR000015,"outer,usher,outer membrane,membrane usher,usher protein,fimbrial,usher,porin,fimbrial usher,usher porin,porin activity,pilus,assembly,pilus assembly,transmembrane transporter,transporter activity,biogenesis,component biogenesis,organization,biogenesis,component organization,organization or,or biogenesis,fimbrial,usher,porin,fimbrial usher,usher porin,porin activity,pilus,organization,pilus organization,channel,channel activity,projection,organization,cell projection,projection organization,projection,assembly,cell projection,projection assembly,porin,porin activity,transporter activity,wide,pore,channel,wide pore,pore channel,channel activity,assembly,component assembly,passive,passive transmembrane,transmembrane transporter,transporter activity,pilus,assembly,pilus assembly,organization,component organization"
IPR000018,"p2y,purinoceptor,p2y purinoceptor,purinoceptor 4,coupled,purinergic,g protein,protein coupled,coupled purinergic,purinergic nucleotide,nucleotide receptor,receptor activity,coupled,pathway,g protein,protein coupled,coupled receptor,receptor signaling,signaling pathway,transepithelial,chloride,transepithelial chloride,chloride transport,transepithelial,chloride,transepithelial chloride,chloride transport,communication,cell communication,inorganic,inorganic anion,anion transport,signal,transduction,signal transduction,chloride,chloride transport,purinergic,purinergic nucleotide,nucleotide receptor,receptor activity,transmembrane signaling,signaling receptor,receptor activity,monoatomic,monoatomic anion,anion transport,nucleotide receptor,receptor activity,transepithelial,transepithelial transport,monoatomic,monoatomic ion,ion transport,transducer,molecular transducer,transducer activity,signaling receptor,receptor activity,coupled,purinergic,g protein,protein coupled,coupled purinergic,purinergic nucleotide,nucleotide receptor,receptor activity,coupled,pathway,g protein,protein coupled,coupled receptor,receptor signaling,signaling pathway,coupled,g protein,protein coupled,coupled receptor,receptor activity"
IPR000023,"phosphofructokinase,phosphofructokinase domain,phosphofructokinase,6 phosphofructokinase,phosphofructokinase activity,glycolytic,glycolytic process,organophosphate,catabolic,organophosphate catabolic,catabolic process,generation,precursor,metabolites,and,energy,generation of,of precursor,precursor metabolites,metabolites and,and energy,catabolic,compound catabolic,catabolic process,ribose,ribose phosphate,phosphate metabolic,purine,ribonucleotide,purine ribonucleotide,ribonucleotide metabolic,nucleotide metabolic,catabolic,phosphate catabolic,catabolic process,organic acid,ribonucleoside,diphosphate,catabolic,ribonucleoside diphosphate,diphosphate catabolic,catabolic process,purine,triphosphate,purine nucleoside,nucleoside triphosphate,triphosphate metabolic,pyridine,catabolic,pyridine nucleotide,nucleotide catabolic,catabolic process,phosphorus metabolic,phosphate metabolic,catabolic,compound catabolic,catabolic process,derivative metabolic,purine,ribonucleoside,diphosphate,purine ribonucleoside,ribonucleoside diphosphate,diphosphate metabolic,catabolic,nucleotide catabolic,catabolic process,purine,ribonucleoside,triphosphate,purine ribonucleoside,ribonucleoside triphosphate,triphosphate metabolic,purine,diphosphate,catabolic,purine nucleoside,nucleoside diphosphate,diphosphate catabolic,catabolic process,monocarboxylic,monocarboxylic acid,diphosphate,nucleoside diphosphate,diphosphate metabolic,carboxylic,carboxylic acid,phosphate containing,catabolic,catabolic process,purine,catabolic,purine nucleotide,nucleotide catabolic,catabolic process,pyridine,pyridine nucleotide,nucleotide metabolic,purine,ribonucleoside,diphosphate,catabolic,purine ribonucleoside,ribonucleoside diphosphate,diphosphate catabolic,catabolic process,catabolic,compound catabolic,catabolic process,purine,catabolic,purine containing,compound catabolic,catabolic process,adp,adp metabolic,carbohydrate metabolic,ribonucleoside,triphosphate,ribonucleoside triphosphate,triphosphate metabolic,adp,catabolic,adp catabolic,catabolic process,oxoacid,oxoacid metabolic,purine,purine containing,catabolic,substance catabolic,catabolic process,diphosphate,catabolic,nucleoside diphosphate,diphosphate catabolic,catabolic process,purine,purine nucleotide,nucleotide metabolic,pyridine,pyridine containing,ribonucleoside,diphosphate,ribonucleoside diphosphate,diphosphate metabolic,catabolic,carbohydrate catabolic,catabolic process,ribonucleotide,ribonucleotide metabolic,nicotinamide,nicotinamide nucleotide,nucleotide metabolic,organophosphate,organophosphate metabolic,transferring phosphorus,containing groups,catabolic,cellular catabolic,catabolic process,catabolic,compound catabolic,catabolic process,pyridine,catabolic,pyridine containing,compound catabolic,catabolic process,kinase,carbohydrate kinase,kinase activity,atp metabolic,containing small,catabolic,heterocycle catabolic,catabolic process,catabolic,derivative catabolic,catabolic process,triphosphate,nucleoside triphosphate,triphosphate metabolic,phosphotransferase,phosphotransferase activity,alcohol,acceptor,alcohol group,group as,as acceptor,catabolic,compound catabolic,catabolic process,pyruvate,pyruvate metabolic,ribonucleotide,catabolic,ribonucleotide catabolic,catabolic process,kinase,kinase activity,purine,ribonucleotide,catabolic,purine ribonucleotide,ribonucleotide catabolic,catabolic process,phosphofructokinase,6 phosphofructokinase,phosphofructokinase activity,phosphofructokinase,phosphofructokinase activity,glycolytic,glycolytic process,purine,diphosphate,purine nucleoside,nucleoside diphosphate,diphosphate metabolic"
IPR000026,"guanine,specific,ribonuclease,sa,guanine specific,specific ribonuclease,ribonuclease sa,sa like,rna binding,endonuclease,rna endonuclease,endonuclease activity,endonuclease,rna endonuclease,endonuclease activity,on rna,nuclease,rna nuclease,nuclease activity,nuclease,nuclease activity,ester,on ester,ester bonds,rna binding,endonuclease,endonuclease activity,a nucleic"
IPR000028,"chloroperoxidase,peroxidase,peroxidase activity,peroxide,acceptor,on peroxide,peroxide as,as acceptor,antioxidant,antioxidant activity,peroxidase,peroxidase activity"
IPR000031,"pure,pure domain,de,novo,imp,de novo,novo imp,imp biosynthetic,ribonucleotide,ribonucleotide metabolic,organophosphate,organophosphate metabolic,monophosphate,nucleoside monophosphate,monophosphate biosynthetic,ribose,ribose phosphate,phosphate metabolic,purine,ribonucleotide,purine ribonucleotide,ribonucleotide metabolic,nucleotide metabolic,purine,ribonucleotide,purine ribonucleotide,ribonucleotide biosynthetic,purine,purine containing,purine,monophosphate,purine nucleoside,nucleoside monophosphate,monophosphate metabolic,containing small,de,novo,imp,de novo,novo imp,imp biosynthetic,ribonucleoside,monophosphate,ribonucleoside monophosphate,monophosphate biosynthetic,monophosphate,nucleoside monophosphate,monophosphate metabolic,ribose,ribose phosphate,phosphate biosynthetic,purine,purine nucleotide,nucleotide biosynthetic,phosphorus metabolic,purine,ribonucleoside,monophosphate,purine ribonucleoside,ribonucleoside monophosphate,monophosphate biosynthetic,phosphate metabolic,ribonucleoside,monophosphate,ribonucleoside monophosphate,monophosphate metabolic,purine,purine containing,derivative metabolic,derivative biosynthetic,phosphate biosynthetic,imp,imp biosynthetic,nucleotide biosynthetic,ribonucleotide,ribonucleotide biosynthetic,phosphate containing,organophosphate,organophosphate biosynthetic,imp,imp metabolic,purine,purine nucleotide,nucleotide metabolic,purine,ribonucleoside,monophosphate,purine ribonucleoside,ribonucleoside monophosphate,monophosphate metabolic,purine,monophosphate,purine nucleoside,nucleoside monophosphate,monophosphate biosynthetic"
IPR000032,"phosphocarrier,hpr,phosphocarrier protein,protein hpr,hpr like"
IPR000033,"ldlr,class,repeat,ldlr class,class b,b repeat"
IPR000034,"laminin,iv,laminin iv"
IPR000035,"alkylbase,glycosidase,alkylbase dna,dna glycosidase,conserved,site,conserved site,alkylbase,glycosylase,alkylbase dna,dna n,n glycosylase,glycosylase activity,repair,dna repair,repair,dna repair,dna metabolic,glycosyl,on glycosyl,glycosyl bonds,stress,to stress,damage,dna damage,damage response,stress,to stress,on dna,hydrolyzing,glycosyl,compounds,hydrolyzing n,n glycosyl,glycosyl compounds,alkylbase,glycosylase,alkylbase dna,dna n,n glycosylase,glycosylase activity,a nucleic,glycosylase,dna n,n glycosylase,glycosylase activity"
IPR000037,"ssra,ssra binding,binding protein,rna binding,rna binding"
IPR000039,"large,ribosomal,el18,large ribosomal,ribosomal subunit,subunit protein,protein el18,structural,constituent,ribosome,structural constituent,constituent of,of ribosome,translation,ribosome,structural,structural molecule,molecule activity,peptide,peptide metabolic,peptide,peptide biosynthetic,non,intracellular non,non membrane,amide,amide biosynthetic,structural,constituent,ribosome,structural constituent,constituent of,of ribosome,translation,amide,amide metabolic,non,non membrane,ribosome"
IPR000040,"acute,myeloid,leukemia,aml1runt,acute myeloid,myeloid leukemia,leukemia 1,1 protein,protein aml1runt,atp binding,templated,of dna,dna templated,templated transcription,nucleus,nucleotide binding,of rna,of biosynthetic,adenyl,ribonucleotide,adenyl ribonucleotide,ribonucleotide binding,purine,purine nucleotide,nucleotide binding,ribonucleotide,ribonucleotide binding,anion binding,purine,ribonucleotide,purine ribonucleotide,ribonucleotide binding,rna biosynthetic,of metabolic,templated,of dna,dna templated,templated transcription,of gene,of macromolecule,nucleus,of rna,rna biosynthetic,phosphate binding,templated,dna templated,templated transcription,of primary,purine,ribonucleoside,triphosphate,purine ribonucleoside,ribonucleoside triphosphate,triphosphate binding,adenyl,adenyl nucleotide,nucleotide binding,heterocyclic,heterocyclic compound,of macromolecule,atp binding,of nucleobase,of nitrogen,molecule binding,derivative binding"
IPR000043,"adenosylhomocysteinase,adenosylhomocysteinase like"
IPR000047,"helix,turn,helix,motif,helix turn,turn helix,helix motif"
IPR000048,"iq,motif,iq motif,ef,hand,site,ef hand,hand binding,binding site,protein binding,protein binding"
IPR000049,"electron,transfer,flavoprotein,electron transfer,transfer flavoprotein,beta,beta subunit,conserved,site,conserved site,electron,transfer,electron transfer,transfer activity,electron,transfer,electron transfer,transfer activity"
